Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,349,453
2,Mohammad Nabi,AFG,302,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,259,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Hardik Pandya,IND,233,262
8,Mehedi Hasan,BAN,210,295
9,Michael Leask,SCO,208,209
10,Wanindu Hasaranga,SL,207,252
11,Mitchell Santner,NZ,204,317
12,Chris Woakes,ENG,204,312
13,Shadab Khan,PAK,199,221
14,Josh Hazlewood,AUS,196,214
15,Sean Williams,ZIM,195,241
16,Mark Watt,SCO,194,201
17,Dhananjaya de Silva,SL,193,228
18,Moeen Ali,ENG,191,306
19,Brandon McMullen,SCO,185,185
20,Gerhard Erasmus,NAM,178,178
