Pos,Player,Team,Rating,Career Best Rating
1,Babar Azam,PAK,836,898
2,Shubman Gill,IND,818,847
3,Quinton de Kock,SA,742,813
4,Rassie van der Dussen,SA,732,796
5,Harry Tector,IRE,729,729
6,Rohit Sharma,IND,719,885
7,David Warner,AUS,712,880
8,Dawid Malan,ENG,711,711
9,Virat Kohli,IND,711,911
10,Imam-ul-Haq,PAK,705,815
11,Heinrich Klaasen,SA,694,709
12,Shai Hope,WI,677,808
13,Fakhar Zaman,PAK,667,784
14,David Miller,SA,656,661
15,Steve Smith,AUS,656,752
16,Temba Bavuma,SA,648,691
17,Jos Buttler,ENG,643,741
18,Rahmanullah Gurbaz,AFG,636,636
19,Lokesh Rahul,IND,635,657
20,Mushfiqur Rahim,BAN,635,739
21,Ibrahim Zadran,AFG,628,663
22,Aiden Markram,SA,628,642
23,Kariyawasa Asalanka,SL,625,635
24,Jason Roy,ENG,623,782
25,Paul Stirling,IRE,623,697
26,Marnus Labuschagne,AUS,622,622
27,Scott Edwards,NED,618,618
28,Sikandar Raza,ZIM,615,627
29,Gerhard Erasmus,NAM,614,618
30,Daryl Mitchell,NZ,614,614
31,Shreyas Iyer,IND,613,673
32,Jonny Bairstow,ENG,613,796
33,Pathum Nissanka,SL,610,625
34,Kane Williamson,NZ,608,799
35,Joe Root,ENG,608,824
36,Devon Conway,NZ,602,602
37,Nicholas Pooran,WI,601,634
38,Ishan Kishan,IND,594,625
39,Tom Latham,NZ,594,657
40,Travis Head,AUS,593,670
41,Mohammad Rizwan,PAK,592,592
42,Shakib Al Hasan,BAN,581,692
43,Kusal Mendis,SL,579,631
44,Alex Carey,AUS,566,669
45,Sean Williams,ZIM,566,571
46,Ben Stokes,ENG,559,694
47,Rahmat Shah,AFG,557,635
48,Glenn Maxwell,AUS,555,735
49,Tamim Iqbal,BAN,555,737
50,Litton Das,BAN,539,627
51,Assad Vala,PNG,536,550
52,George Munsey,SCO,529,587
53,Mitchell Marsh,AUS,528,641
54,Hashmatullah Shaidi,AFG,525,543
55,Andrew Balbirnie,IRE,521,584
56,Vriitya Aravind,UAE,518,538
57,Gajanand Singh,USA,512,512
58,Mahmudullah,BAN,512,595
59,Aaron Jones,USA,510,540
60,Max O'Dowd,NED,507,517
61,Kyle Coetzer,SCO,506,647
62,Will Young,NZ,504,509
63,Martin Guptill,NZ,503,789
64,Aqib Ilyas,OMA,501,578
65,Muhammad Waseem,UAE,500,511
66,Shikhar Dhawan,IND,499,813
67,Richard Berrington,SCO,496,535
68,Monank Patel,USA,493,554
69,Nazmul Shanto,BAN,492,505
70,Najibullah Zadran,AFG,488,555
71,Zeeshan Maqsood,OMA,487,514
72,Henry Nicholls,NZ,485,596
73,Hardik Pandya,IND,484,561
74,Michael Leask,SCO,484,491
75,Aasif Sheikh,NEP,479,496
76,Asif Khan,UAE,476,476
77,Ayaan Khan,OMA,476,476
78,Mohammad Nabi,AFG,475,545
79,Sadeera Samarawickrama,SL,474,481
80,Kashyap Prajapati,OMA,464,464
81,Craig Ervine,ZIM,464,524
82,Steven Taylor,USA,462,501
83,R.K. Paudel,NEP,461,519
84,Haris Sohail,PAK,461,618
85,George Dockrell,IRE,460,460
86,Brandon King,WI,458,471
87,Michael van Lingen,NAM,457,465
88,Vikramjit Singh,NED,454,467
89,Jatinder Singh,OMA,453,506
90,Janneman Malan,SA,452,616
91,Bas de Leede,NED,450,456
92,Brandon McMullen,SCO,445,445
93,Dimuth Karunaratne,SL,441,477
94,Curtis Campher,IRE,440,444
95,Ryan Burl,ZIM,437,437
96,Dhananjaya de Silva,SL,434,487
97,Kushal Bhurtel,NEP,432,432
98,Marcus Stoinis,AUS,432,616
99,Towhid Hridoy,BAN,431,447
100,Tony Ura,PNG,431,431
