Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,327,453
2,Mohammad Nabi,AFG,290,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,263,359
5,Assad Vala,PNG,248,252
6,Glenn Maxwell,AUS,236,350
7,Zeeshan Maqsood,OMA,235,262
8,Marco Jansen,SA,233,240
9,Mitchell Santner,NZ,226,317
10,Ravindra Jadeja,IND,225,377
11,Mehedi Hasan,BAN,214,295
12,Michael Leask,SCO,208,209
13,Hardik Pandya,IND,207,262
14,Josh Hazlewood,AUS,199,214
15,Sean Williams,ZIM,195,241
16,Mark Watt,SCO,194,201
17,Chris Woakes,ENG,191,312
18,Rachin Ravindra,NZ,186,190
19,Brandon McMullen,SCO,185,185
20,Adil Rashid,ENG,181,258
