Pos,Player,Team,Rating,Career Best Rating
50,Nathan Ellis,AUS,492,500
51,Obed McCoy,WI,492,567
52,Mahedi Hasan,BAN,492,632
53,Lungi Ngidi,SA,488,568
54,Lahiru Kumara,SL,484,501
55,Tendai Chatara,ZIM,478,481
56,Fred Klaassen,NED,473,473
57,Zahoor Khan,UAE,468,501
58,Jan Frylinck,NAM,467,482
59,Michael Bracewell,NZ,464,548
60,Joshua Little,IRE,459,528
61,Aayan Afzal Khan,UAE,458,458
62,Paul van Meekeren,NED,457,552
63,David Wiese,NAM,456,646
64,Mark Adair,IRE,452,573
65,Naveen Murid,AFG,452,535
66,Mohammad Nawaz,PAK,451,560
67,Chamika Karunaratne,SL,451,498
68,Adam Milne,NZ,448,661
69,Mohammad Nabi,AFG,447,638
70,David Willey,ENG,438,640
71,J.J. Smit,NAM,434,472
72,Dushmantha Chameera,SL,433,555
73,Kane Richardson,AUS,429,664
74,Safyaan Sharif,SCO,429,501
75,Harshal Patel,IND,424,575
76,Lachlan Ferguson,NZ,424,579
77,Wellington Masakadza,ZIM,423,469
78,Gerhard Erasmus,NAM,421,421
79,Sikandar Raza,ZIM,421,429
80,Sheldon Cottrell,WI,418,648
81,Hayden Walsh,WI,417,528
82,Karim Janat,AFG,408,531
83,Sean Abbott,AUS,406,406
84,Blessing Muzarabani,ZIM,406,522
85,Odean Smith,WI,405,460
86,Ehsan Khan,HK,405,478
87,Matt Henry,NZ,405,405
88,Jasprit Bumrah,IND,403,764
89,Bilal Khan,OMA,403,571
90,Barry McCarthy,IRE,393,393
91,Junaid Siddique,UAE,392,432
92,Ruben Trumpelmann,NAM,386,406
93,Mohammad Shoriful Islam,BAN,383,513
94,Imad Wasim,PAK,378,780
95,Josh Davey,SCO,376,442
96,Alasdair Evans,SCO,376,598
97,Liam Livingstone,ENG,373,428
98,Roelof van der Merwe,NED,370,516
99,Marcus Stoinis,AUS,369,404
100,Deepak Chahar,IND,364,581
