Pos,Player,Team,Rating,Career Best Rating
1,Shaheen Afridi,PAK,673,688
2,Josh Hazlewood,AUS,663,733
3,Mohammed Siraj,IND,656,736
4,Keshav Maharaj,SA,651,656
5,Trent Boult,NZ,649,775
6,Rashid Khan,AFG,648,806
7,Kuldeep Yadav,IND,646,765
8,Mujeeb Ur Rahman,AFG,641,712
9,Adam Zampa,AUS,637,670
10,Mohammad Nabi,AFG,631,657
11,Jasprit Bumrah,IND,629,841
12,Matt Henry,NZ,619,691
13,Kagiso Rabada,SA,614,724
14,Mark Watt,SCO,611,622
15,Mitchell Starc,AUS,608,783
16,Maheesh Theekshana,SL,606,611
17,Mohammad Shami,IND,597,654
18,Lungi Ngidi,SA,590,621
19,Bernard Scholtz,NAM,589,589
20,Chris Woakes,ENG,588,711
21,Saurabh Netravalkar,USA,586,597
22,Akeal Hosein,WI,563,597
23,Shakib Al Hasan,BAN,563,717
24,Mitchell Santner,NZ,559,663
25,Alzarri Joseph,WI,558,625
26,Haris Rauf,PAK,557,582
27,Ravindra Jadeja,IND,556,738
28,Reece Topley,ENG,547,558
29,Andy McBrine,IRE,545,646
30,Fazalhaq Farooqi,AFG,544,544
31,Sandeep Lamichhane,NEP,539,595
32,Pat Cummins,AUS,535,729
33,Marco Jansen,SA,534,534
34,Tabraiz Shamsi,SA,532,597
35,Mark Adair,IRE,529,565
36,Jofra Archer,ENG,528,642
37,Adil Rashid,ENG,525,687
38,Logan van Beek,NED,522,522
39,David Willey,ENG,520,569
40,Mustafizur Rahman,BAN,520,695
41,Richard Ngarava,ZIM,518,524
42,Mehedi Hasan,BAN,513,725
43,Aryan Dutt,NED,510,510
44,Christopher Sole,SCO,509,511
45,Ruben Trumpelmann,NAM,508,510
46,Aayan Afzal Khan,UAE,500,517
47,Bilal Khan,OMA,499,545
48,Craig Young,IRE,487,487
49,Zeeshan Maqsood,OMA,483,510
50,Blessing Muzarabani,ZIM,482,515
51,Kaleemullah,OMA,481,481
52,Nosthush Kenjige,USA,479,479
53,Wanindu Hasaranga,SL,479,582
54,Safyaan Sharif,SCO,477,542
55,Mohammad Nawaz,PAK,475,549
56,Mohammad Wasim,PAK,474,474
57,Lachlan Ferguson,NZ,474,668
58,Mark Wood,ENG,473,615
59,Rohan Mustafa,UAE,473,523
60,Shardul Thakur,IND,472,546
61,Sikandar Raza,ZIM,468,494
62,Joshua Little,IRE,465,533
63,Assad Vala,PNG,464,467
64,Chad Soper,PNG,462,488
65,Sean Abbott,AUS,462,496
66,Dipendra Airee,NEP,458,482
67,Hardik Pandya,IND,455,552
68,Taskin Ahmed,BAN,451,528
69,Paul van Meekeren,NED,449,449
70,Zahoor Khan,UAE,446,490
71,Fred Klaassen,NED,440,507
72,Junaid Siddique,UAE,439,440
73,Naseem Shah,PAK,437,474
74,Kasun Rajitha,SL,433,433
75,Michael Leask,SCO,431,439
76,Dilshan Madushanka,SL,430,430
77,Jason Holder,WI,429,486
78,Moeen Ali,ENG,428,629
79,Shadab Khan,PAK,423,607
80,Ish Sodhi,NZ,423,509
81,Tangeni Lungameni,NAM,421,443
82,Tim Southee,NZ,420,638
83,Yuzvendra Chahal,IND,419,730
84,Dushmantha Chameera,SL,419,552
85,Karan KC,NEP,418,424
86,Brandon McMullen,SCO,417,417
87,Simi Singh,IRE,416,507
88,Mohammad Shoriful Islam,BAN,414,439
89,Anrich Nortje,SA,413,479
90,Taijul Islam,BAN,413,502
91,Gudakesh Motie-Kanhai,WI,411,411
92,Dhananjaya de Silva,SL,411,480
93,Hasan Ali,PAK,410,766
94,Nisarg Patel,USA,409,414
95,Sompal Kami,NEP,409,457
96,Sam Curran,ENG,407,454
97,Dunith Wellalage,SL,405,417
98,Glenn Maxwell,AUS,404,489
99,Lalit Rajbanshi,NEP,399,403
100,Bas de Leede,NED,391,391
