Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,343,453
2,Mohammad Nabi,AFG,300,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,256,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Mitchell Santner,NZ,235,317
8,Glenn Maxwell,AUS,231,350
9,Hardik Pandya,IND,229,262
10,Mehedi Hasan,BAN,210,295
11,Michael Leask,SCO,208,209
12,Josh Hazlewood,AUS,196,214
13,Wanindu Hasaranga,SL,195,252
14,Sean Williams,ZIM,195,241
15,Mark Watt,SCO,194,201
16,Shadab Khan,PAK,189,221
17,Chris Woakes,ENG,187,312
18,Brandon McMullen,SCO,185,185
19,Ravindra Jadeja,IND,181,377
20,Dhananjaya de Silva,SL,179,228
1,Babar Azam,PAK,836,898
2,Shubman Gill,IND,818,847
3,Quinton de Kock,SA,742,813
4,Rassie van der Dussen,SA,732,796
5,Harry Tector,IRE,729,729
6,Rohit Sharma,IND,719,885
7,David Warner,AUS,712,880
8,Dawid Malan,ENG,711,711
9,Virat Kohli,IND,711,911
10,Imam-ul-Haq,PAK,705,815
11,Heinrich Klaasen,SA,694,709
12,Shai Hope,WI,677,808
13,Fakhar Zaman,PAK,667,784
14,David Miller,SA,656,661
15,Steve Smith,AUS,656,752
16,Temba Bavuma,SA,648,691
17,Jos Buttler,ENG,643,741
18,Rahmanullah Gurbaz,AFG,636,636
19,Lokesh Rahul,IND,635,657
20,Mushfiqur Rahim,BAN,635,739
21,Ibrahim Zadran,AFG,628,663
22,Aiden Markram,SA,628,642
23,Kariyawasa Asalanka,SL,625,635
24,Jason Roy,ENG,623,782
25,Paul Stirling,IRE,623,697
26,Marnus Labuschagne,AUS,622,622
27,Scott Edwards,NED,618,618
28,Sikandar Raza,ZIM,615,627
29,Gerhard Erasmus,NAM,614,618
30,Daryl Mitchell,NZ,614,614
31,Shreyas Iyer,IND,613,673
32,Jonny Bairstow,ENG,613,796
33,Pathum Nissanka,SL,610,625
34,Kane Williamson,NZ,608,799
35,Joe Root,ENG,608,824
36,Devon Conway,NZ,602,602
37,Nicholas Pooran,WI,601,634
38,Ishan Kishan,IND,594,625
39,Tom Latham,NZ,594,657
40,Travis Head,AUS,593,670
41,Mohammad Rizwan,PAK,592,592
42,Shakib Al Hasan,BAN,581,692
43,Kusal Mendis,SL,579,631
44,Alex Carey,AUS,566,669
45,Sean Williams,ZIM,566,571
46,Ben Stokes,ENG,559,694
47,Rahmat Shah,AFG,557,635
48,Glenn Maxwell,AUS,555,735
49,Tamim Iqbal,BAN,555,737
50,Litton Das,BAN,539,627
51,Assad Vala,PNG,536,550
52,George Munsey,SCO,529,587
53,Mitchell Marsh,AUS,528,641
54,Hashmatullah Shaidi,AFG,525,543
55,Andrew Balbirnie,IRE,521,584
56,Vriitya Aravind,UAE,518,538
57,Gajanand Singh,USA,512,512
58,Mahmudullah,BAN,512,595
59,Aaron Jones,USA,510,540
60,Max O'Dowd,NED,507,517
61,Kyle Coetzer,SCO,506,647
62,Will Young,NZ,504,509
63,Martin Guptill,NZ,503,789
