Pos,Player,Team,Rating,Career Best Rating
1,Rashid Khan,AFG,692,816
2,Wanindu Hasaranga,SL,679,797
3,Adil Rashid,ENG,679,746
4,Maheesh Theekshana,SL,677,684
5,Josh Hazlewood,AUS,670,806
6,Sam Curran,ENG,659,688
7,Fazalhaq Farooqi,AFG,657,692
8,Adam Zampa,AUS,657,743
9,Mujeeb Ur Rahman,AFG,656,745
10,Akeal Hosein,WI,655,681
11,Anrich Nortje,SA,647,695
12,Tabraiz Shamsi,SA,637,821
13,Alzarri Joseph,WI,632,641
14,Haris Rauf,PAK,629,657
15,Arshdeep Singh,IND,628,635
16,Mitchell Santner,NZ,628,731
17,Ish Sodhi,NZ,627,661
18,Shadab Khan,PAK,607,769
19,Ravi Bishnoi,IND,603,603
20,Shaheen Afridi,PAK,598,634
21,Shakib Al Hasan,BAN,598,672
22,Jason Holder,WI,583,583
23,Keshav Maharaj,SA,582,662
24,Mustafizur Rahman,BAN,573,695
25,Ashton Agar,AUS,572,717
26,Tim Southee,NZ,566,669
27,Reece Topley,ENG,564,662
28,Wayne Parnell,SA,560,577
29,Bhuvneshwar Kumar,IND,551,682
30,Mohammad Wasim,PAK,547,609
31,Kuldeep Yadav,IND,543,728
32,Taskin Ahmed,BAN,541,558
33,Nasum Ahmed,BAN,534,637
34,Mark Wood,ENG,526,610
35,Yuzvendra Chahal,IND,525,706
36,Naseem Shah,PAK,525,578
37,Trent Boult,NZ,524,653
38,Mark Watt,SCO,519,603
39,Kagiso Rabada,SA,516,595
40,Ravichandran Ashwin,IND,516,765
41,Mitchell Starc,AUS,513,702
42,Akshar Patel,IND,511,617
43,Pat Cummins,AUS,508,610
44,Hasan Mahmud,BAN,507,529
45,Chris Jordan,ENG,500,659
46,Chris Woakes,ENG,497,580
47,Hardik Pandya,IND,493,545
48,Nathan Ellis,AUS,492,500
49,Obed McCoy,WI,492,567
50,Mahedi Hasan,BAN,492,632
51,Lungi Ngidi,SA,488,568
52,Richard Ngarava,ZIM,486,501
53,Bernard Scholtz,NAM,484,484
54,Lahiru Kumara,SL,484,501
55,Tendai Chatara,ZIM,481,481
56,David Wiese,NAM,479,646
57,Fred Klaassen,NED,473,473
58,Michael Bracewell,NZ,464,548
59,Luke Bichard,GSY,463,463
60,Joshua Little,IRE,459,528
61,Paul van Meekeren,NED,457,552
62,Zahoor Khan,UAE,454,501
63,Mark Adair,IRE,452,573
64,Jan Frylinck,NAM,452,482
65,Naveen Murid,AFG,452,535
66,Mohammad Nawaz,PAK,451,560
67,Chamika Karunaratne,SL,451,498
68,Adam Milne,NZ,448,661
69,Mohammad Nabi,AFG,447,638
70,Wellington Masakadza,ZIM,445,469
71,Bilal Khan,OMA,441,571
72,David Willey,ENG,438,640
73,Dushmantha Chameera,SL,433,555
74,Kane Richardson,AUS,429,664
75,Safyaan Sharif,SCO,429,501
76,J.J. Smit,NAM,427,472
77,Blessing Muzarabani,ZIM,427,522
78,Harshal Patel,IND,424,575
79,Lachlan Ferguson,NZ,424,579
80,Junaid Siddique,UAE,421,432
81,Sheldon Cottrell,WI,418,648
82,Hayden Walsh,WI,417,528
83,Sikandar Raza,ZIM,416,429
84,Karim Janat,AFG,408,531
85,Ruben Trumpelmann,NAM,406,406
86,Sean Abbott,AUS,406,406
87,Odean Smith,WI,405,460
88,Matt Henry,NZ,405,405
89,Jasprit Bumrah,IND,403,764
90,Barry McCarthy,IRE,393,393
91,Mohammad Shoriful Islam,BAN,383,513
92,Sean Williams,ZIM,383,506
93,Imad Wasim,PAK,378,780
94,Josh Davey,SCO,376,442
95,Alasdair Evans,SCO,376,598
96,Liam Livingstone,ENG,373,428
97,Roelof van der Merwe,NED,370,516
98,Marcus Stoinis,AUS,369,404
99,Luke Jongwe,ZIM,366,513
100,Deepak Chahar,IND,364,581
