Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,324,453
2,Mohammad Nabi,AFG,301,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,253,359
5,Assad Vala,PNG,248,252
6,Mitchell Santner,NZ,237,317
7,Zeeshan Maqsood,OMA,235,262
8,Glenn Maxwell,AUS,225,350
9,Hardik Pandya,IND,219,262
10,Mehedi Hasan,BAN,213,295
11,Michael Leask,SCO,208,209
12,Marco Jansen,SA,208,208
13,Josh Hazlewood,AUS,196,214
14,Sean Williams,ZIM,195,241
15,Mark Watt,SCO,194,201
16,Ravindra Jadeja,IND,194,377
17,Wanindu Hasaranga,SL,191,252
18,Shadab Khan,PAK,186,221
19,Brandon McMullen,SCO,185,185
20,Dhananjaya de Silva,SL,184,228
