Pos,Player,Team,Rating,Career Best Rating
1,Shubman Gill,IND,826,847
2,Babar Azam,PAK,824,898
3,Virat Kohli,IND,791,911
4,Rohit Sharma,IND,769,885
5,Quinton de Kock,SA,760,813
6,Daryl Mitchell,NZ,750,750
7,David Warner,AUS,745,880
8,Rassie van der Dussen,SA,735,796
9,Harry Tector,IRE,729,729
10,Dawid Malan,ENG,729,730
11,Heinrich Klaasen,SA,721,756
12,Shreyas Iyer,IND,696,710
13,Ibrahim Zadran,AFG,684,692
14,Fakhar Zaman,PAK,682,784
15,Travis Head,AUS,679,679
16,Shai Hope,WI,677,808
17,David Miller,SA,673,673
18,Imam-ul-Haq,PAK,672,815
19,Lokesh Rahul,IND,665,665
20,Steve Smith,AUS,638,752
21,Aiden Markram,SA,633,656
22,Marnus Labuschagne,AUS,629,629
23,Kariyawasa Asalanka,SL,627,638
24,Paul Stirling,IRE,623,697
25,Rahmanullah Gurbaz,AFG,622,649
26,Scott Edwards,NED,618,648
27,Glenn Maxwell,AUS,618,735
28,Pathum Nissanka,SL,617,638
29,Sikandar Raza,ZIM,615,627
30,Gerhard Erasmus,NAM,614,618
31,Temba Bavuma,SA,614,691
32,Jos Buttler,ENG,604,741
33,Nicholas Pooran,WI,601,634
34,Kane Williamson,NZ,601,799
35,Mushfiqur Rahim,BAN,600,739
36,Mohammad Rizwan,PAK,597,597
37,Ben Stokes,ENG,594,694
38,Jonny Bairstow,ENG,591,796
39,Jason Roy,ENG,587,782
40,Rahmat Shah,AFG,586,635
41,Joe Root,ENG,582,824
42,Tom Latham,NZ,579,657
43,Devon Conway,NZ,579,602
44,Mitchell Marsh,AUS,577,641
45,Shakib Al Hasan,BAN,571,692
46,Sean Williams,ZIM,566,571
47,Ishan Kishan,IND,551,625
48,Kusal Mendis,SL,550,631
49,Rachin Ravindra,NZ,548,560
50,Mahmudullah,BAN,545,595
51,Litton Das,BAN,541,627
52,Hashmatullah Shaidi,AFG,537,545
53,Assad Vala,PNG,536,550
54,Sadeera Samarawickrama,SL,535,535
55,George Munsey,SCO,529,587
56,Tamim Iqbal,BAN,523,737
57,Alex Carey,AUS,522,669
58,Andrew Balbirnie,IRE,521,584
59,Will Young,NZ,521,523
60,Nazmul Shanto,BAN,521,521
61,Vriitya Aravind,UAE,518,538
62,Gajanand Singh,USA,512,512
63,Aaron Jones,USA,510,540
64,Max O'Dowd,NED,506,517
65,Kyle Coetzer,SCO,506,647
66,Aqib Ilyas,OMA,501,578
67,Muhammad Waseem,UAE,500,511
68,Glenn Phillips,NZ,496,496
69,Richard Berrington,SCO,496,535
70,Monank Patel,USA,493,554
71,Zeeshan Maqsood,OMA,487,514
72,Michael Leask,SCO,484,491
73,Aasif Sheikh,NEP,479,496
74,Asif Khan,UAE,476,476
75,Ayaan Khan,OMA,476,476
76,Azmatullah Omarzai,AFG,469,469
77,Martin Guptill,NZ,469,789
78,Kashyap Prajapati,OMA,464,464
79,Craig Ervine,ZIM,464,524
80,Steven Taylor,USA,462,501
81,R.K. Paudel,NEP,461,519
82,Najibullah Zadran,AFG,460,555
83,Shikhar Dhawan,IND,460,813
84,George Dockrell,IRE,460,460
85,Mohammad Nabi,AFG,459,545
86,Brandon King,WI,458,471
87,Michael van Lingen,NAM,457,465
88,Jatinder Singh,OMA,453,506
89,Henry Nicholls,NZ,452,596
90,Hardik Pandya,IND,451,561
91,Iftikhar Ahmed,PAK,448,453
92,Towhid Hridoy,BAN,447,447
93,Brandon McMullen,SCO,445,445
94,Curtis Campher,IRE,440,444
95,Ryan Burl,ZIM,437,437
96,Teja Nidamanuru,NED,434,443
97,Suryakumar Yadav,IND,434,441
98,Haris Sohail,PAK,434,618
99,Kushal Bhurtel,NEP,432,432
100,Vikramjit Singh,NED,432,467
