Pos,Player,Team,Rating,Career Best Rating
1,Josh Hazlewood,AUS,670,733
2,Mohammed Siraj,IND,668,736
3,Keshav Maharaj,SA,656,656
4,Rashid Khan,AFG,654,806
5,Trent Boult,NZ,653,775
6,Mohammad Nabi,AFG,641,657
7,Adam Zampa,AUS,635,670
8,Matt Henry,NZ,634,691
9,Kuldeep Yadav,IND,632,765
10,Shaheen Afridi,PAK,625,688
11,Mujeeb Ur Rahman,AFG,625,712
12,Mitchell Starc,AUS,622,783
13,Jasprit Bumrah,IND,620,841
14,Kagiso Rabada,SA,620,724
15,Mark Watt,SCO,611,622
16,Lungi Ngidi,SA,598,621
17,Bernard Scholtz,NAM,589,589
18,Maheesh Theekshana,SL,586,611
19,Saurabh Netravalkar,USA,586,597
20,Chris Woakes,ENG,576,711
21,Shakib Al Hasan,BAN,573,717
22,Mohammad Shami,IND,564,654
23,Akeal Hosein,WI,563,597
24,Mitchell Santner,NZ,563,663
25,Reece Topley,ENG,558,558
26,Alzarri Joseph,WI,558,625
27,Andy McBrine,IRE,545,646
28,Haris Rauf,PAK,541,582
29,Jofra Archer,ENG,539,642
30,Sandeep Lamichhane,NEP,539,595
31,Ravindra Jadeja,IND,537,738
32,Mustafizur Rahman,BAN,531,695
33,Mark Adair,IRE,529,565
34,Pat Cummins,AUS,528,729
35,Adil Rashid,ENG,526,687
36,Mehedi Hasan,BAN,519,725
37,Richard Ngarava,ZIM,518,524
38,Tabraiz Shamsi,SA,515,597
39,Christopher Sole,SCO,509,511
40,Ruben Trumpelmann,NAM,508,510
41,Aayan Afzal Khan,UAE,500,517
42,Marco Jansen,SA,500,500
43,Bilal Khan,OMA,499,545
44,David Willey,ENG,498,569
45,Logan van Beek,NED,489,493
46,Wanindu Hasaranga,SL,488,582
47,Lachlan Ferguson,NZ,488,668
48,Mohammad Nawaz,PAK,488,549
49,Mark Wood,ENG,488,615
50,Craig Young,IRE,487,487
51,Zeeshan Maqsood,OMA,483,510
52,Blessing Muzarabani,ZIM,482,515
53,Kaleemullah,OMA,481,481
54,Fazalhaq Farooqi,AFG,480,544
55,Nosthush Kenjige,USA,479,479
56,Aryan Dutt,NED,478,478
57,Shardul Thakur,IND,477,546
58,Safyaan Sharif,SCO,477,542
59,Rohan Mustafa,UAE,473,523
60,Sean Abbott,AUS,472,496
61,Sikandar Raza,ZIM,468,494
62,Joshua Little,IRE,465,533
63,Assad Vala,PNG,464,467
64,Taskin Ahmed,BAN,463,528
65,Chad Soper,PNG,462,488
66,Hardik Pandya,IND,459,552
67,Dipendra Airee,NEP,458,482
68,Fred Klaassen,NED,449,507
69,Zahoor Khan,UAE,446,490
70,Naseem Shah,PAK,446,474
71,Moeen Ali,ENG,441,629
72,Shadab Khan,PAK,440,607
73,Junaid Siddique,UAE,439,440
74,Michael Leask,SCO,431,439
75,Jason Holder,WI,429,486
76,Dushmantha Chameera,SL,427,552
77,Ish Sodhi,NZ,427,509
78,Yuzvendra Chahal,IND,424,730
79,Tim Southee,NZ,424,638
80,Dhananjaya de Silva,SL,422,480
81,Mohammad Shoriful Islam,BAN,421,439
82,Tangeni Lungameni,NAM,421,443
83,Taijul Islam,BAN,421,502
84,Dilshan Madushanka,SL,419,419
85,Hasan Ali,PAK,418,766
86,Karan KC,NEP,418,424
87,Brandon McMullen,SCO,417,417
88,Anrich Nortje,SA,417,479
89,Simi Singh,IRE,416,507
90,Sam Curran,ENG,415,454
91,Dunith Wellalage,SL,413,417
92,Gudakesh Motie-Kanhai,WI,411,411
93,Glenn Maxwell,AUS,411,489
94,Nisarg Patel,USA,409,414
95,Sompal Kami,NEP,409,457
96,Kasun Rajitha,SL,406,415
97,Lalit Rajbanshi,NEP,399,403
98,Ashton Agar,AUS,398,456
99,Mohammad Wasim,PAK,396,446
100,Gulbadin Naib,AFG,391,472
