Pos,Player,Team,Rating,Career Best Rating
1,Rashid Khan,AFG,713,816
2,Wanindu Hasaranga,SL,686,797
3,Maheesh Theekshana,SL,684,684
4,Adil Rashid,ENG,679,746
5,Fazalhaq Farooqi,AFG,677,692
6,Mujeeb Ur Rahman,AFG,676,745
7,Josh Hazlewood,AUS,670,806
8,Sam Curran,ENG,659,688
9,Adam Zampa,AUS,657,743
10,Akeal Hosein,WI,655,681
11,Anrich Nortje,SA,647,695
12,Haris Rauf,PAK,642,657
13,Tabraiz Shamsi,SA,637,821
14,Alzarri Joseph,WI,632,641
15,Mitchell Santner,NZ,628,731
16,Ish Sodhi,NZ,627,661
17,Shadab Khan,PAK,620,769
18,Shakib Al Hasan,BAN,616,672
19,Shaheen Afridi,PAK,610,634
20,Arshdeep Singh,IND,608,635
21,Mustafizur Rahman,BAN,591,695
22,Jason Holder,WI,583,583
23,Keshav Maharaj,SA,582,662
24,Ashton Agar,AUS,572,717
25,Tim Southee,NZ,566,669
26,Reece Topley,ENG,564,662
27,Bhuvneshwar Kumar,IND,562,682
28,Wayne Parnell,SA,560,577
29,Mohammad Wasim,PAK,558,609
30,Taskin Ahmed,BAN,558,558
31,Kuldeep Yadav,IND,554,728
32,Nasum Ahmed,BAN,550,637
33,Yuzvendra Chahal,IND,536,706
34,Naseem Shah,PAK,536,578
35,Mark Wood,ENG,526,610
36,Ravichandran Ashwin,IND,526,765
37,Trent Boult,NZ,524,653
38,Hasan Mahmud,BAN,523,529
39,Akshar Patel,IND,521,617
40,Mark Watt,SCO,519,603
41,Kagiso Rabada,SA,516,595
42,Mitchell Starc,AUS,513,702
43,Pat Cummins,AUS,508,610
44,Mahedi Hasan,BAN,507,632
45,Hardik Pandya,IND,503,545
46,Ravi Bishnoi,IND,501,507
47,Chris Jordan,ENG,500,659
48,Chris Woakes,ENG,497,580
49,Nathan Ellis,AUS,492,500
50,Obed McCoy,WI,492,567
51,Lahiru Kumara,SL,489,501
52,Lungi Ngidi,SA,488,568
53,Richard Ngarava,ZIM,486,501
54,Bernard Scholtz,NAM,484,484
55,Tendai Chatara,ZIM,481,481
56,David Wiese,NAM,479,646
57,Fred Klaassen,NED,473,473
58,Naveen Murid,AFG,466,535
59,Michael Bracewell,NZ,464,548
60,Luke Bichard,GSY,463,463
61,Mohammad Nabi,AFG,461,638
62,Mohammad Nawaz,PAK,460,560
63,Joshua Little,IRE,459,528
64,Paul van Meekeren,NED,457,552
65,Chamika Karunaratne,SL,456,498
66,Zahoor Khan,UAE,454,501
67,Mark Adair,IRE,452,573
68,Jan Frylinck,NAM,452,482
69,Adam Milne,NZ,448,661
70,Wellington Masakadza,ZIM,445,469
71,Bilal Khan,OMA,441,571
72,David Willey,ENG,438,640
73,Dushmantha Chameera,SL,437,555
74,Harshal Patel,IND,433,575
75,Kane Richardson,AUS,429,664
76,Safyaan Sharif,SCO,429,501
77,J.J. Smit,NAM,427,472
78,Blessing Muzarabani,ZIM,427,522
79,Lachlan Ferguson,NZ,424,579
80,Junaid Siddique,UAE,421,432
81,Sheldon Cottrell,WI,418,648
82,Hayden Walsh,WI,417,528
83,Sikandar Raza,ZIM,416,429
84,Jasprit Bumrah,IND,411,764
85,Ruben Trumpelmann,NAM,406,406
86,Sean Abbott,AUS,406,406
87,Odean Smith,WI,405,460
88,Matt Henry,NZ,405,405
89,Mohammad Shoriful Islam,BAN,395,513
90,Karim Janat,AFG,393,531
91,Barry McCarthy,IRE,393,393
92,Imad Wasim,PAK,386,780
93,Sean Williams,ZIM,383,506
94,Josh Davey,SCO,376,442
95,Alasdair Evans,SCO,376,598
96,Liam Livingstone,ENG,373,428
97,Deepak Chahar,IND,371,581
98,Roelof van der Merwe,NED,370,516
99,Marcus Stoinis,AUS,369,404
100,Luke Jongwe,ZIM,366,513
