Pos,Player,Team,Rating,Career Best Rating
1,Mohammed Siraj,IND,709,736
2,Keshav Maharaj,SA,694,694
3,Adam Zampa,AUS,662,670
4,Kuldeep Yadav,IND,661,765
5,Shaheen Afridi,PAK,658,688
6,Josh Hazlewood,AUS,658,733
7,Rashid Khan,AFG,655,806
8,Jasprit Bumrah,IND,654,841
9,Trent Boult,NZ,638,775
10,Mohammad Shami,IND,635,654
11,Kagiso Rabada,SA,629,724
12,Mujeeb Ur Rahman,AFG,625,712
13,Mohammad Nabi,AFG,623,657
14,Maheesh Theekshana,SL,612,612
15,Mark Watt,SCO,611,622
16,Matt Henry,NZ,606,691
17,Chris Woakes,ENG,599,711
18,Mitchell Starc,AUS,595,783
19,Ravindra Jadeja,IND,593,738
20,Bernard Scholtz,NAM,589,589
21,Saurabh Netravalkar,USA,586,597
22,Lungi Ngidi,SA,570,621
23,Shakib Al Hasan,BAN,568,717
24,Akeal Hosein,WI,563,597
25,Marco Jansen,SA,563,573
26,Alzarri Joseph,WI,558,625
27,Haris Rauf,PAK,549,582
28,Mitchell Santner,NZ,545,663
29,Andy McBrine,IRE,545,646
30,Adil Rashid,ENG,543,687
31,Reece Topley,ENG,541,558
32,Sandeep Lamichhane,NEP,539,595
33,Pat Cummins,AUS,533,729
34,Fazalhaq Farooqi,AFG,529,544
35,Mark Adair,IRE,529,565
36,Logan van Beek,NED,529,529
37,Jofra Archer,ENG,523,642
38,David Willey,ENG,521,569
39,Richard Ngarava,ZIM,518,524
40,Mehedi Hasan,BAN,517,725
41,Mustafizur Rahman,BAN,515,695
42,Tabraiz Shamsi,SA,513,597
43,Christopher Sole,SCO,509,511
44,Ruben Trumpelmann,NAM,508,510
45,Dilshan Madushanka,SL,505,505
46,Mohammad Wasim,PAK,504,504
47,Aryan Dutt,NED,501,510
48,Aayan Afzal Khan,UAE,500,517
49,Bilal Khan,OMA,499,545
50,Craig Young,IRE,487,487
51,Zeeshan Maqsood,OMA,483,510
52,Blessing Muzarabani,ZIM,482,515
53,Kaleemullah,OMA,481,481
54,Nosthush Kenjige,USA,479,479
55,Safyaan Sharif,SCO,477,542
56,Rohan Mustafa,UAE,473,523
57,Mohammad Nawaz,PAK,470,549
58,Wanindu Hasaranga,SL,469,582
59,Sikandar Raza,ZIM,468,494
60,Mark Wood,ENG,467,615
61,Lachlan Ferguson,NZ,465,668
62,Joshua Little,IRE,465,533
63,Assad Vala,PNG,464,467
64,Shardul Thakur,IND,463,546
65,Chad Soper,PNG,462,488
66,Taskin Ahmed,BAN,462,528
67,Dipendra Airee,NEP,458,482
68,Sean Abbott,AUS,453,496
69,Zahoor Khan,UAE,446,490
70,Hardik Pandya,IND,446,552
71,Junaid Siddique,UAE,439,440
72,Fred Klaassen,NED,436,507
73,Mohammad Shoriful Islam,BAN,434,439
74,Naseem Shah,PAK,433,474
75,Tim Southee,NZ,432,638
76,Michael Leask,SCO,431,439
77,Paul van Meekeren,NED,430,449
78,Jason Holder,WI,429,486
79,Tangeni Lungameni,NAM,421,443
80,Moeen Ali,ENG,421,629
81,Shadab Khan,PAK,419,607
82,Karan KC,NEP,418,424
83,Brandon McMullen,SCO,417,417
84,Simi Singh,IRE,416,507
85,Gudakesh Motie-Kanhai,WI,411,411
86,Yuzvendra Chahal,IND,411,730
87,Hasan Ali,PAK,410,766
88,Nisarg Patel,USA,409,414
89,Kasun Rajitha,SL,409,433
90,Sompal Kami,NEP,409,457
91,Taijul Islam,BAN,409,502
92,Ish Sodhi,NZ,408,509
93,Anrich Nortje,SA,405,479
94,Dushmantha Chameera,SL,405,552
95,Dhananjaya de Silva,SL,404,480
96,Glenn Maxwell,AUS,403,489
97,Gerald Coetzee,SA,402,406
98,Sam Curran,ENG,402,454
99,Lalit Rajbanshi,NEP,399,403
100,Dunith Wellalage,SL,397,417
