Pos,Player,Team,Rating,Career Best Rating
1,Babar Azam,PAK,857,898
2,Shubman Gill,IND,839,847
3,Rassie van der Dussen,SA,743,796
4,Harry Tector,IRE,729,729
5,David Warner,AUS,729,880
6,Imam-ul-Haq,PAK,728,815
7,Quinton de Kock,SA,714,813
8,Heinrich Klaasen,SA,698,709
9,Virat Kohli,IND,696,911
10,Rohit Sharma,IND,695,885
11,Fakhar Zaman,PAK,692,784
12,Shai Hope,WI,677,808
13,Steve Smith,AUS,669,752
14,Temba Bavuma,SA,668,691
15,Dawid Malan,ENG,662,675
16,David Miller,SA,656,656
17,Jos Buttler,ENG,654,741
18,Ibrahim Zadran,AFG,644,663
19,Jason Roy,ENG,642,782
20,Paul Stirling,IRE,623,697
21,Mushfiqur Rahim,BAN,622,739
22,Jonny Bairstow,ENG,620,796
23,Sikandar Raza,ZIM,615,627
24,Gerhard Erasmus,NAM,614,618
25,Kariyawasa Asalanka,SL,612,622
26,Shreyas Iyer,IND,611,673
27,Travis Head,AUS,611,670
28,Ishan Kishan,IND,609,625
29,Pathum Nissanka,SL,608,625
30,Kane Williamson,NZ,608,799
31,Marnus Labuschagne,AUS,602,602
32,Nicholas Pooran,WI,601,634
33,Aiden Markram,SA,601,601
34,Lokesh Rahul,IND,596,657
35,Tom Latham,NZ,591,657
36,Shakib Al Hasan,BAN,591,692
37,Joe Root,ENG,591,824
38,Alex Carey,AUS,587,669
39,Rahmanullah Gurbaz,AFG,579,629
40,Scott Edwards,NED,577,594
41,Ben Stokes,ENG,576,694
42,Rahmat Shah,AFG,574,635
43,Tamim Iqbal,BAN,572,737
44,Sean Williams,ZIM,566,571
45,Glenn Maxwell,AUS,563,735
46,Daryl Mitchell,NZ,560,600
47,Mohammad Rizwan,PAK,548,548
48,Kusal Mendis,SL,545,631
49,Assad Vala,PNG,536,550
50,Litton Das,BAN,534,627
51,Mitchell Marsh,AUS,534,641
52,George Munsey,SCO,529,587
53,Devon Conway,NZ,522,584
54,Andrew Balbirnie,IRE,521,584
55,Hashmatullah Shaidi,AFG,519,543
56,Martin Guptill,NZ,519,789
57,Vriitya Aravind,UAE,518,538
58,Max O'Dowd,NED,516,517
59,Shikhar Dhawan,IND,514,813
60,Gajanand Singh,USA,512,512
61,Mahmudullah,BAN,512,595
62,Aaron Jones,USA,510,540
63,Najibullah Zadran,AFG,508,555
64,Will Young,NZ,508,506
65,Kyle Coetzer,SCO,506,647
66,Aqib Ilyas,OMA,501,578
67,Muhammad Waseem,UAE,500,511
68,Henry Nicholls,NZ,500,596
69,Richard Berrington,SCO,496,535
70,Monank Patel,USA,493,554
71,Zeeshan Maqsood,OMA,487,514
72,Mohammad Nabi,AFG,487,545
73,Nazmul Shanto,BAN,485,485
74,Michael Leask,SCO,484,491
75,Hardik Pandya,IND,481,561
76,Aasif Sheikh,NEP,479,496
77,Asif Khan,UAE,476,476
78,Ayaan Khan,OMA,476,476
79,Haris Sohail,PAK,476,618
80,Janneman Malan,SA,466,616
81,Kashyap Prajapati,OMA,464,464
82,Craig Ervine,ZIM,464,524
83,Steven Taylor,USA,462,501
84,R.K. Paudel,NEP,461,519
85,George Dockrell,IRE,460,460
86,Brandon King,WI,458,471
87,Michael van Lingen,NAM,457,465
88,Dimuth Karunaratne,SL,455,477
89,Jatinder Singh,OMA,453,506
90,Dhananjaya de Silva,SL,451,487
91,Vikramjit Singh,NED,450,451
92,Brandon McMullen,SCO,445,445
93,Philip Salt,ENG,442,447
94,Curtis Campher,IRE,440,444
95,Sadeera Samarawickrama,SL,440,450
96,Marcus Stoinis,AUS,438,616
97,Ryan Burl,ZIM,437,437
98,Iftikhar Ahmed,PAK,433,433
99,Kushal Bhurtel,NEP,432,432
100,Towhid Hridoy,BAN,431,447
