Pos,Player,Team,Rating,Career Best Rating
1,Suryakumar Yadav,IND,880,910
2,Mohammad Rizwan,PAK,803,875
3,Aiden Markram,SA,756,796
4,Babar Azam,PAK,748,896
5,Rilee Rossouw,SA,702,724
6,Dawid Malan,ENG,691,915
7,Muhammad Waseem,UAE,675,716
8,Jos Buttler,ENG,666,674
9,Aaron Finch,AUS,660,900
10,Reeza Hendricks,SA,657,661
11,Glenn Phillips,NZ,649,703
12,Mitchell Marsh,AUS,645,652
13,Brandon King,WI,637,637
14,Devon Conway,NZ,636,831
15,Nicholas Pooran,WI,624,667
16,Quinton de Kock,SA,622,671
17,Pathum Nissanka,SL,611,698
18,Alex Hales,ENG,611,866
19,Litton Das,BAN,588,590
20,Rahmanullah Gurbaz,AFG,579,620
21,Tim Seifert,NZ,571,685
22,Virat Kohli,IND,565,897
23,Finn Allen,NZ,561,606
24,Mark Chapman,NZ,561,561
25,Kariyawasa Asalanka,SL,559,594
26,Kusal Mendis,SL,559,559
27,Richard Berrington,SCO,557,587
28,George Munsey,SCO,550,600
29,Nazmul Shanto,BAN,549,593
30,Jonny Bairstow,ENG,541,624
31,Shubman Gill,IND,535,573
32,Yashasvi Jaiswal,IND,535,535
33,Harry Brook,ENG,533,561
34,Paul Stirling,IRE,531,599
35,David Miller,SA,529,587
36,Rovman Powell,WI,522,534
37,Marcus Stoinis,AUS,518,519
38,Najibullah Zadran,AFG,518,556
39,Daryl Mitchell,NZ,517,582
40,Max O'Dowd,NED,517,549
41,Ibrahim Zadran,AFG,517,539
42,Iftikhar Ahmed,PAK,516,521
43,Kyle Mayers,WI,513,513
44,Glenn Maxwell,AUS,511,836
45,David Warner,AUS,506,826
46,Lokesh Rahul,IND,506,854
47,Dasun Shanaka,SL,504,517
48,Rohit Sharma,IND,503,718
49,Bhanuka Rajapaksa,SL,501,543
50,Hazratullah,AFG,501,736
51,Moeen Ali,ENG,490,525
52,Mohammad Nabi,AFG,486,569
53,Travis Head,AUS,484,484
54,Johnson Charles,WI,482,604
55,Ben Duckett,ENG,478,560
56,Afif Hossain,BAN,475,508
57,Martin Guptill,NZ,470,793
58,Hardik Pandya,IND,469,490
59,Shakib Al Hasan,BAN,469,618
60,Ishan Kishan,IND,465,717
61,Andrew Balbirnie,IRE,465,523
62,Gerhard Erasmus,NAM,458,499
63,Jason Roy,ENG,449,688
64,Tony Ura,PNG,447,563
65,Kane Williamson,NZ,441,760
66,Heinrich Klaasen,SA,436,494
67,Matthew Wade,AUS,435,476
68,Wesley Madhevere,ZIM,432,514
69,Vriitya Aravind,UAE,431,472
70,Curtis Campher,IRE,428,428
71,Shan Masood,PAK,428,469
72,Tim David,AUS,425,472
73,Craig Williams,NAM,422,477
74,Dhananjaya de Silva,SL,418,418
75,Sikandar Raza,ZIM,418,431
76,Sean Williams,ZIM,418,481
77,Mahmudullah,BAN,417,542
78,Shreyas Iyer,IND,412,622
79,Matthew Short,AUS,410,439
80,Temba Bavuma,SA,410,482
81,J.J. Smit,NAM,409,425
82,Evin Lewis,WI,406,780
83,Mohammad Naim,BAN,405,617
84,Zeeshan Maqsood,OMA,401,445
85,Kusal Perera,SL,399,751
86,Shimron Hetmyer,WI,399,481
87,Craig Ervine,ZIM,394,424
88,Colin Ackermann,NED,393,393
89,Liam Livingstone,ENG,392,546
90,Stephan Baard,NAM,389,440
91,Fakhar Zaman,PAK,387,842
92,Ryan Burl,ZIM,387,407
93,Jatinder Singh,OMA,385,524
94,Matthew Cross,SCO,385,478
95,Josh Inglis,AUS,382,450
96,Jimmy Neesham,NZ,372,409
97,N.T. Tilak Varma,IND,370,509
98,Ruturaj Gaikwad,IND,369,397
99,Ravija Sandaruwan,KUW,368,465
100,Aaron Johnson,CAN,364,397
