Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,349,453
2,Mohammad Nabi,AFG,302,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,259,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Hardik Pandya,IND,228,262
8,Mehedi Hasan,BAN,209,295
9,Michael Leask,SCO,208,209
10,Wanindu Hasaranga,SL,207,252
11,Mitchell Santner,NZ,204,317
12,Glenn Maxwell,AUS,204,350
13,Chris Woakes,ENG,204,312
14,Shadab Khan,PAK,199,221
15,Josh Hazlewood,AUS,196,214
16,Sean Williams,ZIM,195,241
17,Mark Watt,SCO,194,201
18,Dhananjaya de Silva,SL,193,228
19,Moeen Ali,ENG,191,306
20,Brandon McMullen,SCO,185,185
