Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,343,453
2,Mohammad Nabi,AFG,300,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,256,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Mitchell Santner,NZ,235,317
8,Glenn Maxwell,AUS,231,350
9,Hardik Pandya,IND,229,262
10,Mehedi Hasan,BAN,210,295
11,Michael Leask,SCO,208,209
12,Josh Hazlewood,AUS,196,214
13,Wanindu Hasaranga,SL,195,252
14,Sean Williams,ZIM,195,241
15,Mark Watt,SCO,194,201
16,Shadab Khan,PAK,189,221
17,Chris Woakes,ENG,187,312
18,Brandon McMullen,SCO,185,185
19,Ravindra Jadeja,IND,181,377
20,Dhananjaya de Silva,SL,179,228
